review,rating
"Pusat komplain tokopedia membuat keputusan sepihak yang banyak meugikan konsumen , saya rugi jutaan rupiah gara2 aplikasi ini tidak berlaku adil terhadap pelanggan , jadi saya tidak pernah pake aplikasi sampah ini",1
Dapet kupon,5
"Sy pke Tokopedia udh lama, tp skrg jd nyebelin. Dulu, pesan ke penjual bs dihapus, skrng nggak. Kadang ada notif, tp pas dicek kosong. Fitur liat penjual aktif/nggaknya jg hilang, kasih ruang buat penjual nakal. Di app lain, pesan & notif bs dihapus, status aktif penjual ada. Brg yg dicari di Tokopedia sering ga ada, tp di app lain malah ada, mgkn krn penjual lbh bnyk. Kalo update, jgn cuma ubah tampilan, tp jg perbaiki masalah penjual nakal & balikin fitur2 yg dulu ada.",1
"Teruntuk TOKOPEDIA. please lahhh jangan pake ekspedisi yang ngga sat sat. Pake J&T EXPRESS atau JNE REG aja bisa ngga??? Paketku lohh ga dikirim kirim. Masa iyaa kudu ambil sendiri terus. Di daerahku pake ekspedisi (ID EXPRESS, NINJA, SI CEPAT Tuh kurang RECOMMEND Yaa) tolong di perbaiki. Terimakasih!",3
Mudah dicari tapi suka salah saya pernah beli barang free 1dp 2 beda warna janjinya ternyata lain dg jg diminta,5
udah ekspedisi rekomendasi gak bisa milih kayak toko sebelah Eh sekarang pembayaran dipaksa pake virtual account dan dikenakan biaya pula Koplak Ini sih bikin kapok pada kabur ke toko sebelah deh,1
oke,5
"Gak jelas ni tokped lama2, barang di tulisnya promo, pas checkout, harganya knapa jadi berubah, mahal bgt, mending tulis aja harga asli, jgn ngecoh, bikin males lama2",1
Tokopedia mang oie,5
tampilan makin aneh jadi lemot,1
memuaskan. puasa belanja di tokopedia,5
"Banyak barang 18+ tidak sesuai sama barang yang di cari mana ga bisa dihilangin lagi, jadi perih mata saya😒 mohon diperbaiki",2
tokped keren...,5
"Ketika lgi berselancar di tokped lama kelamaan jdi lemot memuat produk, pdhl sinyal dan data aman",3
Lama banget pengiriman nya udah 10 hari ga sampe-sampe trus masa ada asuransi pengiriman nya mana gede lagi ga sesuai dengan harga di aplikasi nya.,1
PAKET LAMA DIKIRIM TIDAK SESUAI ESTIMASI DAN RIWAYAT PERJALANAN PAKET NYANGKUT,1
Ok,5
"Nyesel kecewa sama apk ini ,saya tarik dana dari saldo tokped udah dari tgl 4 sampe tgl 9 ga ada uang masuk ke rekening . Estimasi pertama 1x24 jam . Terus mundur lagi 3x24 jam Mundur lagi sampe bulan 8 jam 23.59 .gada uang masuk ke rekening . PARAH!!!!",1
Bunga gopay leher mencekik bagi kaum kebawah kayk saya telat sehari denda 50rb aplikasi lain itu 2 bulan cumak 20rb dendanya,1
"Bermasalah lagi, pakai data seluler lancar pakai wifi lemotttttttttttt.",4
semoga menjadi amanah,5
good tokopediq emang the best dr toko online lainya👍👍👍👍,5
"Lemot & jauh lebih mahal d banding toko sebelah,seller sama & produk ny sama,tpi harga ny bisa lbih mahal d tokped itu gimana,Hadeehhh",1
mantap,5
Sy msh perdana di sini,5
banyak gratis ongkir,5
Bagus,5
cepat mudah terpercaya,5
Ada apa dng Tokopedia... Ada bnyk Promo dan voucer tp tdk bs di gunakan..,5
"Mulai maret 2025 tiap kali mau CO selalu error, berulang-ulang refresh, udh cek upgrade apk jg jd bikin gak nyaman sbg customer yg udh lama banget gunain Tokopedia, ada apa ini? Apa bakalan ikutan tutup jg Tokopedia?",1
"Sangat tidak bertanggung jawab,,uang saya di aplikasi dana hilang 300rb riwayatnya transaksi sama Tokopedia,setelah di cek di aplikasi tidak ada transaksi sama sekali,,kenapa bisa begitu",1
"Suruh update trus giliran d update cuma muter"" doang ,lama instalnya",2
"kemarin beli barang seharga 440rb pembayaran memakai QRIS, sudah saya transfer tapi status pembayaran masih menunggu, sudah saya tunggu sampai akhir batas pembayaran malah pesanan saya menghilang/tidak ada, sudah hubungi CS malah dibikin pusing sendiri. tolong min apabila bisa direfund dananya bisa hub email saya, saya punya bukti tf lengkap🙏",1
sangat membantu apabila di toped ada saldo refund,5
ok sip,5
"Mantap bonusnya, harga terjangkau smua lapisan bawah🤳💪 bebas ongkir dan mutu original tapi toup saldo sulit 🖐️ coin/poin",1
marketplace favorit,5
sangat mudah bayar pakai dana,5
"Tokopedia mantapp,baru pertama belanja murah poll...terimah kasih Tokopedia sudah membantu kebutuhan rumah dengan harga murah.. Alhamdulillah...",5
harus nya aplikasi nya di update 5 bulan sekali aja masa harus seminggu sekali di update,2
"mending update UI ecommerce kaya shopee lebih menarik sumpah , sebagai pembeli jujur gue agak kecewa baik dgn seller - kurir & penanganan lemodd ala toped kalian team IT belahar gih dri pesaing malu 😒 hospitality keren si orangee 😆",1
menurutku tokopedia bagus,5
good job,5
"banyan pilihan produknya, pengiriman cepat. tokopedia joss",5
Jelek aplikasinya dan jrg diskon kyk dlu,3
Aplikasinya mantul,5
Belanja lebih mudah,5
"Terima - kasih....., jaga account pelanggan dari peretas...",4
ok,5
promosonya bagus,5
bagusss,4
saran harusnya ada login tiktok,2
Kalian kalo ada toko yg ga aktif kasih tau pembeli dong. Kasih warn toko ini tidak aktif sekian hari. Kalah sm oren. 4 hari ga aktif aja juga pembeli dikasih tau. Ini udah pesan. Udah bayar. Taunya penjualnya ghoib. Byk bgt seller2 ijo yg ghoib. Tetep aktif itu tokonya. Ga di non aktifin.,3
Hati hati aplikasi ini penipu,1
"di Samsung Galaxy A55 5G aplikasi Tokipedia tidak bisa melihat detail produk, setiap klik Produk tampilan layar hanya putih kosong saja.",1
Nomer hp sy udah mati tapi mengspa ga bisa di ganti dengan nomer yg baru. Makanya udah ga pernah transaksi fi tokopedia lg,3
Ok,4
Tolong kembalikan tenoe cicil 12 bulan saya😭,1
not bad bro,3
Good apps,5
"Banyak toko ga amanah, 2 transaksi ga diproses, voucher angus semua, hati hati aja, kayanya emg udh kerja sama sih sama pihak developer.",1
semoga amanah barangnya aku tunggu,5
mantap,5
ka tokped kenapa pemak\ian dibatasi limit padahal limit ku gede tapi p3makaian sejuta udah habis,4
"tolong jaringan nya kondisikan, turun jauh sama kualitas toko sebelah😞",2
"Parah gratis ongkir sekarang gak ada disini, udah gak dapat saya",1
"Maaf, saya tidak bisa login.. kenapa ya?",1
toped aplikasi yang sangat mantap dan membantu dalam mencari barang yang kita butuhkan,5
Lama bget loding y anjir,1
Good looking,5
GK ngerti skrg konsep nya paket di oper jasa ini trs di oper lagi jasa jasa itu. Di oper lagi jasa itu. Prasaan dulu GK gini. pengiriman sampai skrg blm nyampe tuh paket . DKI-BDG hampir SEMINGGU .hedeh😤,1
tolong coba bikin ekspedisi pengiriman instant+makanan gitu kayak aplikasi sebelah.saya yakin banyak yang minat😊,5
"Bagus aplnya walau kasang suka ngelag/lemot, kedepanya sering"" gratis ongkir.",5
mantap cepat,5
sangat puas,5
"Halo min Tolong untuk perpesanan Tokopedia dibenerin Kasih filter pesan yg blm terbaca,blm di bls dll Sama notifikasi jgn dicampur dengan pesan Bikin bingung saja kalau ada pembeli malah di check notif doank kan buang² waktu",3
Sudah 6 tahun saya pakai apk ini .ok no problem,5
Estimasi pesananan sampai tgl 3-6 ditunggu sampe tgl 6 ga sampe juga mau komplen harus nunggu dulu sampe tgl 8 setelah tgl 8 dikomplen masih harus nunggu sampe tgl 11 buat investigasi berbelit bgt ga sat set kaya toko sebelah kecewa lah,1
"Saya sudah verifikasi usia di Tokopedia,tapi tetap tidak bisa belanja kebutuhan vape...",1
"Semoga selalu amanah, biar berkah. Sukses selalu",4
"puas oke,",5
"Aplikasi nya terlalu rumit,buat pembatalan pesanan aj g ada.tidak seperti aplikasinya lainnya selalu ada fitur pembatalan. Nyesel w download apk ini.maaf saya unistal aja.",3
Mntapp,5
pelayanannya cepet,5
puas,5
bermanfaat banget,5
okkk,5
Aku kasih bintang 5 untuk apl in karna memang seru banget apalagi banyak discount nya buruan downlod deh di jamin gk bakalan nyesel,5
Kenapa tidak bisa buka aplikasi Tokopedia kq ada tulisan maaf memuat shake shake,1
mesen paket disini lama banget ngelewatin estimasinya ew,1
Lokal Pride,5
Tokopedia termurah,5
ok,5
"Mengapa skrg status aktif seller tidak tampil lg baik di chat maupun di status toko nya? Menyulitkan untuk menentukan toko aktif atau tidak? Saya terjebak memesan ke toko yg tdk aktif, padahal buru2",5
mantap,5
"Dear Tokopedia, kenapa setiap saya daftar nomor baru untuk akun ke-2, selalu terjadi kesalahan sistem?",4
jos puas,5
baik,5
Oke sangat membantuku bth barang,5
"Sangat bagus dn membantu kebutuhan. Untuk permintaan kami pelanggan, dari pihak toped tolong jua turunkan ongkir untuk daerah Seram Bagian Barat, Maluku. Karena untuk tahun 2022 dn 2023 itu rata rata ongkir itu masih standar bisa berbanding harga barang.... tapi sekarang, rata2 ongkir itu lebih di atas dari harga barang yg biasa kami belanja",5
"Makin banyak verifikasi. Keamanan cukup no HP sama identitas. Jadi gk semua kebuka di 18+ seperti vape. Payah lah.., mending verifikasinya langsung ke no HP. Ini harus nyambung ke gopay, poto KTP. Ribet banget..",1
mantap,5
"Sumpah jangan mau transaksi di e-commerce ini....lihat saja di instagramnya sudah banyak yang uangnya tidak balik...komplain tidak di respont...barang belum di kirim tapi Tokopedia cuek,saya transaksi di sini dr tanggal 4 Maret 2025 sampai tgl 8 Maret 2025 barang tidak di kirim,menurut aturan dari Tokopedia maka transaksi saya di batalkan dan uang saya akan otomatis dikembalikan...tapi nyatanya hingga saat ini barang saya ga di kirim uang sayapun tidak di kembalikan....",1
"Saya kirim pesan ke penjual, tapi di inbox kok keterangan tidak ada pesan. Sementara notif ada 14 pesan yang belum dibaca. Tolong diperbaiki. Tlg juga kasi fitur bedain barang kw dan ori.",3
Sudah membayar ongkir tapi tetap pengiriman lama tidak untuk direkomendasikan,1
baik,5
mantep polllll nih aplikasinya kalo ada bintang 50 gua kasih bintang 50 dah pokoknya mantep abisssssss moal gagal dahhhhh mantep polllll nih aplikasinya kerennnnn,5
"Saya dinyatakan tutup akun secara mandiri, padahal gak pernah ngapa2in selain belanja. Yg sgt mengecewakan, bhkan Toped CS pun tidak dapat menjelaskan dan menyelesaikan masalah saya tsb.",1
"Skrng di aplikasi tdk tersedia slot "" pembatalan "" jd klo salah beli tdk bisa batal.",2
"Ini gimana sih kok kurirnya lama banget, saya mesen dari bulan Februari sampe detik ini ga dikirim"" cuman disimpen di gudang, kalau saya mesen nya baru"" ini okelah lah ini dari 27 februari. Terus juga saya sudah Terima paketnya kok malah mau dikirim lagi sih jdi kan harus bayar 2×, masa paketnya udh diterima tapi di aplikasi Tokopedianya 'sedang dikirim'??",3
"gw saranin jangan beli Di Tokopedia , karna knp?? karna gw pernah nyoba beli baju sama kirian motor nah terus gw coba return tuh , Eeh , malah Dateng kerumah gua",1
Bagus barang nya murah murah seperti Wayang kertas murah meriah 👍,4
sangat terbantu,5
"Jasa pengiriman di tokped kaya siput,masa Jepara jakarta udah seminggu gak nyampe2,trus status posisi pesanan juga GK jelas,kalah jauh sama sopi dan tiktok...shrusnya kasih juga rating utk jasa pengiriman",1
"min duit gua pindahin lah ke gopay, masa gua bayar pake gopay di refundnya ke saldo tokped,gua masi pelajar min masalahnya ga bisa gopay plus karna belum punya ktp pokonya ga mau tau tf ke gopay tu saldonya kalo ga gua suru temen temen gua hapus tokped",1
Kacau ni aplikasi buat data kalian bocor,1
Pengiriman lama,1
"saya baru saja daftar Tokopedia, ketika saya menggunakan promo pembelian pertama untuk beli alat pancing tidak bisa. setelah saya coba beberapa kali terus promonya hilang (promo pengguna baru dan gratis ongkir). padahal saya belum pernah melakukan pembelian di Tokopedia. Saya juga sudah coba hubungi cs Tokopedia tapi tidak ada respon. Tolong responnya developer. Soalnya saya tidak mendapat balasan di cs aplikasinya",1
Pesan baju koko uku Desain baju koko ukuran XXL ran xxl,5
👍🏻,5
ok,5
"mahal dari toko sebelah, kupon diskon kurang dari toko sebelah 🟠",3
Makin gk bener nih aplikasi,1
"Aplikasinya belum aman masak bayar pake qris dari dana udah kebayar d aplikasi Tokopedia masih menunggu pembayaran, klo aplikasi gk aman mending jangn adain qris merugikan orang aja. Saldo qu hangus deh 38.000 krg.",1
Disini sellernya tidak amanah,1
mantap...sangat membantu untuk belanja d sini...sering dapat discount...semoga tokopedia tambah sukses dan maju...aamiin,5
tokped is the best,5
"Hati hati dengan belanja di TOKOPEDIA Banyak penipuan karena aplikasi ini amatir, keamanan data juga sangat mengkhawatirkan. Pelayanan yang kurang bagus dan aplikasi pemakaiannya ribet. Dan susah banget mendapatkan bonus atau gratis ongkir. Bintang satu masih kebanyakan.....",1
good,5
Sangat bagus dan paling saya rekomendasikan,5
Jual beli aneh yang jual banyak penipu,1
"mantap Toko pedia, terima kasih, toko pedia, bayar pakai e wallet lebih gampang. dan proses nya juga cepat.",5
Good,5
"ini kenapa update posisi UI nya jadi aneh, chat saya ke toko pun gk muncul di chatnya, harus chat lewat link produknya dulu baru bisa akses chat sellernya, team develover segera di fix dong",2
Tolong hilangkan JNE dari kurir rekomendasi. Lambat banget,3
Mantap,5
sangat membantu memenuhi kebutuhan sperpat motor saya terimakasih tokopedia,5
bagus,5
bagus,5
Terbaikku,5
oke,5
Metode pembayarannya sudah tidak bisa digabung lg saatnya sudah tidak Ada keunggulanya lg,1
Respon costumer servisnya lama sekali dan tidak menyelesaikan masalah sampai saat ini dana refund saya tidak kembali padahal barang yang saya refund sudah saya kirim kembali ke selerdan sudah di Terima oleh seler. Sampai sekarang uang refund tidak keluar!,1
"diskon ga dpke atau dpke sm aja gabisa co, pengirimanya seringnya lebih Dr 4 hri",1
good,5
sangat suka sama tokopedia👍👍,5
bagus,5
"Katanya ongkir gratis, tapi nyatanya ongkos kirim timbul.",2
"Kenapa tiba2 ada pembayaran secara langsung padahal tidak pernah belanja,ada notif pembayaran tokopedia tolong lah di kembalikan",1
simple banyak fitur,5
mantap tokopedia semoga lancar,5
Tolong kapasitas di keranjang sama pembelian jumlahnya dibanyakin dongg.. mau beli barang banyak jadinya ga bisa.. harus bayar 1 dulu baru bisa belanja lagi.. ga bisa langsung banyak.. contoh shopee coba maksimal di keranjang 99 trs pas setelah checkout tinggal bayarnya ga cuma 1.. ini tiap mau belanja ke batal otomatis jadi harus ngulang dari awal..,3
Saya suka Tokopedia...tapi tiap mau buka disuruh update..masa baru seminggu minta update lagi ..apa iya tiap Minggu kudu di-update..tgl 2 Maret 2025 saya update..masa sekarang tgl 8 Maret minta update lagi...haram jadah mending bangkrut aja Tokopedia dari pada nyusahin penggunanya..hal kecil tapi bikin nyesek penggunanya..,1
"Maksudnya gimana ini min, udah masukin barang ke keranjang, nyoba cek harga dapet diskon harga sama gratis ongkir, giliran mau pembayaran cara apapun, virtual, qris, cod transfer bank, langsung gabisa make vouchernya, ini penyebabny apa dan solusinya bagaimana?",1
"Tidak seperti dulu, lebih mudah & banyak promo",3
sering-seringlah promo biar tetap jadi langganan hehe,4
Bad apps,1
Aplikasi nya sering error waktu di pakai untuk melihat barang deskripsi barang nya tidak muncul dan bahkan hanya menampilkan black screen,2
"Di update an terbaru kenapa saya tidak bisa melakukan check out barang, lagi ada gangguan apa gimana",2
"jangan mau pesan disni udah dapet diskon eh pas dipesan udah seminggu dibatalin dari tokpednya,cape cape orang nunggu diskon!!!!!!!!",1
"Transaksi gampang dipahami n aman pembayaranny, hati2 dengan kurir toko, priksa baik2 barang sblm diterima, toko gk ganti n gk da solusi klo lbh dri 3hri.... Setelah update n tdk da opsi trf manual jdikn tokped hanya tuk orang kota yg signyal stabil, kami di daerah plosok gk bs pakai mobile banking",2
Ekspedisi yang d rekomendasikan lemot. ga ada pilihan ekspedisi lain. layanannya jelek,1
"Tolong untuk pada saat pengguna baru,kalo buat pin jangan di persulit saya sdh mencoba nomor berkali-kali tetap aja gak valid terus yg awal nya mau niat pake ini aplikasi gara gara login aja ribet jadi males tolong di perbaiki lagi trimakasih.",3
l like,5
"Gwa beli xlim pro 2 di sini dapet potongan 35k malah di batalin sama system nya , kalo gak niat jual barang gak usah buka marketplace gblk",1
Sebenarnya ada fitur live chat ke CS gk sih ini? Dari semalam chat gk ada yg respon sama sekali.,1
good,5
"Tokopedia harus mulai melakukan seleksi terhadap seller yang mau bernaung di bawahnya.. Kemarin saya memesan bangku jongkok atau dingklik... Pada awalnya diproses.. Kurir Same day.. Hari ke 2, mereka bilang masih di proses.. Hari ke 3 dibatalkan sepihak oleh penjual dengan alasan tidak bisa menerima pesanan saya, walau uang dikembalikan.",3
mantap,5
Pengiriman tidak tepat waktu,1
"Saya kecewa pesanan saya status diproses terus,udh dibatalin diproses terus,chat ke tokonya ga direspon,chat ke toped care nya ga di respon juga. Pembayaran nya juga pun sudah dibayar. Sampai sekarang dana tidak balik,chat ke penjual nya tidak di respon,bahakan langsung ke tanya toped care pun tidak dibalas. JGN NIPU DONG NTUK PENJUAL DAN TOPED.",1
recomendasi,5
Ok,5
mau membayar ribet bangat ngak sama dengan shopee,3
Buat pin nya ribet semua yg di masukan selalu TDK palit,1
Kurang cepat dalam pengiriman,2
sangat memuaskan belanja di tokopedia,5
Gan knpa metode pembayaran lewat m banking g bisa skarg. ? Tolong di rubah lagi gan pembayaran lewat m banking,4
bnyak diskonnya,4
Tida bisa COD,1
mantap keren,5
ok,5
sangat menyenangkan...makasih tokped,5
Tokopedia mah aneh saya pesen barang lama sampe nya gak ada garansi apa apa lagi kalau barang nya telat. sama saya di tokopedia sudah ada alamat yang detail dan benar sudah alamat utama juga .. tokopedia malah kasih alamat yang gak benar dan gak detail.. jadi gak sampe sampe pesanan saya,2
Toko pedia tidak familiar,1
Maksa minta di update woe,3
"Tokopedia makin ke sini makin gak jelas, fitur blok pengguna malah di hilangkan, seakan mendukung para akun palsu untuk menyebar spam dan pesan2 gak jelas , udah bener ada fitur atau pilihan blok pengguna. Cepat kembalikan fitur ini, rata2 kalau ada penilaian di sini mendungkung berariti fix dia penyebar spam alias si akun palsu",1
Mudah dan Bagus,5
toko pedia harga terjangkau ongkir relatif semua barang sesuai pesanan seler nya amanah,5
Mantap,5
bnyak penipu jualan disini sangat tidak rekomended belanja disini,1
"Sejak sering di update untuk COD nya sangat sulit malah sekarang mau pesan udah pesan masuk ke opsi pengiriman muncul keterangan lagi untuk mendonlod OJKN ,kalo yang fersi lama lebih mudah",4
wowww jos banget pelayanya,5
"Sangat bagus dan berkualitas, semoga bermanfaat...",5
mudah dan terpercaya,5
ok,5
kasih bintang 3 dulu saya mau liat produk nya dulu bagus gk,3
bagus,4
seru,5
belanja di Tokopedia sangat cepat,5
"Sudah melewati batas waktu tunggu pengiriman tapi pesanan tidak dibatalkan secara otomatis, tidak ada opsi pembatalan dari pembeli, uang nyangkut, buang waktu. Toko oren ngga gini banget. Sudah menghubungi Tokopedia Care tetapi tidak ada respon.",1
Tokopedia sekarang ampas bgt ongkir aja harus bayar mulu. diskon kecil bgt kalah sama toko oren yg gratis ongkir dan diskon mulu,1
mntaf is ok,5
Ok,5
"Gajelas toko toko nyapada ga aktif, duit masuk harus nunggu 3 hari,kaya minjemin duit ke orang aja",1
keren banget dan mudah operasinya,5
"mantap lur,pembayaran iso pake QRIS.. tolong banyakin promo lagi ya..",5
Sangat baik,5
"Banyak focer diskon nya, jadi g perlu ganti aku buat dapet vocer diskon kyk di shopee",5
Tokopedia emang seru bisa di nikmati.... 👍👍👍👍👍,5
sangat terbantu,4
"Singkirkan penjual-penjual penipu dari tokopedia. Tokopedia sdh beberapa kali kasih jawaban dan toko yg terdaftar dianggap ilegal. Pertanyaannya: ilegal kog bisa masuk tokopedia? Pengalaman dgn toko tersebut tinggal tunggu waktu untuk game over. Biar Polisi yg bereskan. Tanggal 7 Maret 2025 terjadi kasus tidak bermutu. Pesan barang jenis obat, barang yang datang bollpoint. Mengapa bisa sefatal dan parah gini?",1
mudah,3
diperbanyak lagi promo menariknya supaya makin laris,5
Menutup transfer manual adalah kesalahan tokopedia,2
"Aplnya knp ya. Tdk bs masuk2. Diminta Update, sdh diupdate. Tp saat masuk apl di minta pilih tutup atau updte trs, jd berulang2 update dan install. Tetap sj, saat klik toped, disuruh pilih tutup atau update.",2
mantap,5
oke,5
"Jangan diganti-ganti dong tampilan halaman awalnya, kalau mau liat wishlist malah ribet.",4
Tokopedia mantaap,5
Aplikasinya tdk dpt dibuka krn hrs diupdate lagi sementara saya tdk dpt mengupdate/menginstal lg berulang kali dicoba ggl trus,3
tokopedia emang the best,5
"Ini gimana yaa, promo tokopedia untuk pembayaran paylater Malah engak bisa di gunakan, mana sekarang untuk pembayaran gopaylater jatuh tempo nya malah Tgl 1 lagi",1
"Aturan aplikasi ini kurang jelas, promo yang ada bagus. Tapi aturan dan sistem aplikasi ini membuat kurang nyaman. Waktu saya sudah mau co barang malah promo tidak bisa dipakai padahal sudah tertulis memenuhi syarat. Sedangkan saat tidak ada promo, harga di aplikasi ini jauh lebih mahal dari harga pasaran, voucher untuk ongkir juga tidak bisa diclaim sendiri.",3
Pelayanan sangat buruk 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1
ok,5
Suka...,4
saya kembali,5
mantap,5
Mudah dipakai dan bisa bisnis juga,5
"kenapa makin lama semakin buruk sih bukannya malah bagus, kemarin sy pesan pick up nya sj nunggu estimasi mau habis baru dikirim sekarang sy pesan same day dr pagi smpe malam g dikirim jg. tolong itu estimasi pick up nya itu dipersingkat max besoknya harus pick up klo 4hari itu membuat toko semakin malas2an.. perbaiki dong..",1
keren mudah,5
Mudah2 n kedepanya jngan banyak toko yg cara pembayaranya harus tf mudah2 bisa cod semua,5
Payah,1
"Seneng banget belanja di Tokopedia dapat promo menarik, semoga makin royal",5
"Dana refund 19jt masuk ketokopedia,dan tidak balik kekami Kami harus mengganti rugi 19jt Payah",1
Bagus dan baik,5
